[arch] mlp hidden [512, 512, 256, 256] in=201, 0.912M params (0.565M deployable)
exp011 outcomes6 [cpu]: 86 shards x 20 epochs, lr=0.001 holdout_frac=0.0 split_seed=14
  ep3 shard 248/1720 loss=0.873641  best=-inf wall=1.158h
  ep3 shard 249/1720 loss=0.85654  best=-inf wall=1.164h
  ep3 shard 250/1720 loss=0.867704  best=-inf wall=1.169h
  ep3 shard 251/1720 loss=0.885018  best=-inf wall=1.174h
  ep3 shard 252/1720 loss=0.851459  best=-inf wall=1.178h
  ep3 shard 253/1720 loss=0.806543  best=-inf wall=1.183h
  ep3 shard 254/1720 loss=0.880352  best=-inf wall=1.186h
  ep3 shard 255/1720 loss=0.820461  best=-inf wall=1.189h
  ep3 shard 256/1720 loss=0.867497  best=-inf wall=1.193h
  ep3 shard 257/1720 loss=0.913752  best=-inf wall=1.197h
  ep3 shard 258/1720 loss=0.872225  best=-inf wall=1.199h
  saved epoch checkpoint -> experiments/exp028-mlp/ref20/checkpoints/ep3.pt
  ep4 shard 259/1720 loss=0.844132  best=-inf wall=1.203h
  ep4 shard 260/1720 loss=0.891292  best=-inf wall=1.208h
  ep4 shard 261/1720 loss=0.871913  best=-inf wall=1.213h
  ep4 shard 262/1720 loss=0.801617  best=-inf wall=1.218h
  ep4 shard 263/1720 loss=0.794475  best=-inf wall=1.221h
  ep4 shard 264/1720 loss=0.865776  best=-inf wall=1.226h
  ep4 shard 265/1720 loss=0.835356  best=-inf wall=1.227h
  ep4 shard 266/1720 loss=0.869009  best=-inf wall=1.232h
  ep4 shard 267/1720 loss=0.866749  best=-inf wall=1.237h
  ep4 shard 268/1720 loss=0.851572  best=-inf wall=1.24h
  ep4 shard 269/1720 loss=0.849981  best=-inf wall=1.245h
  ep4 shard 270/1720 loss=0.858064  best=-inf wall=1.25h
  ep4 shard 271/1720 loss=0.842508  best=-inf wall=1.255h
  ep4 shard 272/1720 loss=0.825169  best=-inf wall=1.26h
  ep4 shard 273/1720 loss=0.857465  best=-inf wall=1.265h
  ep4 shard 274/1720 loss=0.847808  best=-inf wall=1.27h
  ep4 shard 275/1720 loss=0.829148  best=-inf wall=1.275h
  ep4 shard 276/1720 loss=0.849654  best=-inf wall=1.279h
  ep4 shard 277/1720 loss=0.875417  best=-inf wall=1.284h
  ep4 shard 278/1720 loss=0.837468  best=-inf wall=1.289h
  ep4 shard 279/1720 loss=0.825016  best=-inf wall=1.294h
  ep4 shard 280/1720 loss=0.83869  best=-inf wall=1.299h
  ep4 shard 281/1720 loss=0.812268  best=-inf wall=1.304h
  ep4 shard 282/1720 loss=0.850758  best=-inf wall=1.309h
  ep4 shard 283/1720 loss=0.792017  best=-inf wall=1.314h
  ep4 shard 284/1720 loss=0.87276  best=-inf wall=1.319h
  ep4 shard 285/1720 loss=0.873896  best=-inf wall=1.323h
  ep4 shard 286/1720 loss=0.855052  best=-inf wall=1.328h
  ep4 shard 287/1720 loss=0.842367  best=-inf wall=1.331h
  ep4 shard 288/1720 loss=0.835631  best=-inf wall=1.336h
  ep4 shard 289/1720 loss=0.84379  best=-inf wall=1.341h
  ep4 shard 290/1720 loss=0.834208  best=-inf wall=1.345h
  ep4 shard 291/1720 loss=0.891812  best=-inf wall=1.35h
  ep4 shard 292/1720 loss=0.859847  best=-inf wall=1.355h
  ep4 shard 293/1720 loss=0.849584  best=-inf wall=1.36h
  ep4 shard 294/1720 loss=0.857651  best=-inf wall=1.365h
  ep4 shard 295/1720 loss=0.902026  best=-inf wall=1.37h
  ep4 shard 296/1720 loss=0.900425  best=-inf wall=1.375h
  ep4 shard 297/1720 loss=0.865066  best=-inf wall=1.378h
  ep4 shard 298/1720 loss=0.875881  best=-inf wall=1.382h
  ep4 shard 299/1720 loss=0.875781  best=-inf wall=1.388h
  ep4 shard 300/1720 loss=0.834158  best=-inf wall=1.392h
  ep4 shard 301/1720 loss=0.885856  best=-inf wall=1.395h
  ep4 shard 302/1720 loss=0.849155  best=-inf wall=1.398h
  ep4 shard 303/1720 loss=0.849969  best=-inf wall=1.403h
  ep4 shard 304/1720 loss=0.880193  best=-inf wall=1.408h
  ep4 shard 305/1720 loss=0.899899  best=-inf wall=1.413h
  ep4 shard 306/1720 loss=0.845351  best=-inf wall=1.418h
  ep4 shard 307/1720 loss=0.818089  best=-inf wall=1.423h
  ep4 shard 308/1720 loss=0.849286  best=-inf wall=1.428h
  ep4 shard 309/1720 loss=0.865949  best=-inf wall=1.433h
  ep4 shard 310/1720 loss=0.868741  best=-inf wall=1.438h
  ep4 shard 311/1720 loss=0.836431  best=-inf wall=1.443h
  ep4 shard 312/1720 loss=0.873398  best=-inf wall=1.448h
  ep4 shard 313/1720 loss=0.849602  best=-inf wall=1.452h
  ep4 shard 314/1720 loss=0.759104  best=-inf wall=1.457h
  ep4 shard 315/1720 loss=0.828371  best=-inf wall=1.462h
  ep4 shard 316/1720 loss=0.876925  best=-inf wall=1.467h
  ep4 shard 317/1720 loss=0.836207  best=-inf wall=1.472h
  ep4 shard 318/1720 loss=0.850768  best=-inf wall=1.476h
  ep4 shard 319/1720 loss=0.881668  best=-inf wall=1.481h
  ep4 shard 320/1720 loss=0.845137  best=-inf wall=1.487h
