[arch] mlp hidden [512, 512, 256, 256] in=210, 0.917M params (0.569M deployable)
exp011 outcomes6 [cpu]: 86 shards x 8 epochs, lr=0.001 holdout_frac=0.0 split_seed=14
  ep3 shard 234/688 loss=0.821931  best=-inf wall=1.315h
  ep3 shard 235/688 loss=0.828369  best=-inf wall=1.32h
  ep3 shard 236/688 loss=0.870264  best=-inf wall=1.325h
  ep3 shard 237/688 loss=0.901889  best=-inf wall=1.33h
  ep3 shard 238/688 loss=0.863886  best=-inf wall=1.335h
  ep3 shard 239/688 loss=0.864978  best=-inf wall=1.341h
  ep3 shard 240/688 loss=0.834072  best=-inf wall=1.346h
  ep3 shard 241/688 loss=0.823703  best=-inf wall=1.351h
  ep3 shard 242/688 loss=0.825531  best=-inf wall=1.357h
  ep3 shard 243/688 loss=0.849672  best=-inf wall=1.358h
  ep3 shard 244/688 loss=0.782354  best=-inf wall=1.363h
  ep3 shard 245/688 loss=0.83777  best=-inf wall=1.369h
  ep3 shard 246/688 loss=0.840033  best=-inf wall=1.375h
  ep3 shard 247/688 loss=0.856258  best=-inf wall=1.38h
  ep3 shard 248/688 loss=0.823525  best=-inf wall=1.385h
  ep3 shard 249/688 loss=0.892467  best=-inf wall=1.391h
  ep3 shard 250/688 loss=0.830067  best=-inf wall=1.396h
  ep3 shard 251/688 loss=0.811477  best=-inf wall=1.401h
  ep3 shard 252/688 loss=0.867387  best=-inf wall=1.406h
  ep3 shard 253/688 loss=0.890785  best=-inf wall=1.411h
  ep3 shard 254/688 loss=0.843021  best=-inf wall=1.414h
  ep3 shard 255/688 loss=0.819975  best=-inf wall=1.418h
  ep3 shard 256/688 loss=0.852448  best=-inf wall=1.422h
  ep3 shard 257/688 loss=0.8644  best=-inf wall=1.427h
  ep3 shard 258/688 loss=0.896215  best=-inf wall=1.43h
  saved epoch checkpoint -> experiments/exp028-mlp/debroadcast_all26/checkpoints/ep3.pt
  ep4 shard 259/688 loss=0.858889  best=-inf wall=1.435h
  ep4 shard 260/688 loss=0.816764  best=-inf wall=1.44h
  ep4 shard 261/688 loss=0.90679  best=-inf wall=1.445h
  ep4 shard 262/688 loss=0.875932  best=-inf wall=1.45h
  ep4 shard 263/688 loss=0.847835  best=-inf wall=1.453h
  ep4 shard 264/688 loss=0.799967  best=-inf wall=1.458h
  ep4 shard 265/688 loss=0.893139  best=-inf wall=1.459h
  ep4 shard 266/688 loss=0.802043  best=-inf wall=1.465h
  ep4 shard 267/688 loss=0.882762  best=-inf wall=1.47h
  ep4 shard 268/688 loss=0.838673  best=-inf wall=1.473h
  ep4 shard 269/688 loss=0.853965  best=-inf wall=1.478h
  ep4 shard 270/688 loss=0.873577  best=-inf wall=1.483h
  ep4 shard 271/688 loss=0.840871  best=-inf wall=1.488h
  ep4 shard 272/688 loss=0.787137  best=-inf wall=1.493h
  ep4 shard 273/688 loss=0.887438  best=-inf wall=1.498h
  ep4 shard 274/688 loss=0.887836  best=-inf wall=1.503h
  ep4 shard 275/688 loss=0.882415  best=-inf wall=1.508h
  ep4 shard 276/688 loss=0.866235  best=-inf wall=1.514h
  ep4 shard 277/688 loss=0.850059  best=-inf wall=1.519h
  ep4 shard 278/688 loss=0.788409  best=-inf wall=1.524h
  ep4 shard 279/688 loss=0.874666  best=-inf wall=1.529h
  ep4 shard 280/688 loss=0.847352  best=-inf wall=1.533h
  ep4 shard 281/688 loss=0.875448  best=-inf wall=1.539h
  ep4 shard 282/688 loss=0.840314  best=-inf wall=1.544h
  ep4 shard 283/688 loss=0.824789  best=-inf wall=1.55h
  ep4 shard 284/688 loss=0.85266  best=-inf wall=1.555h
  ep4 shard 285/688 loss=0.860386  best=-inf wall=1.56h
  ep4 shard 286/688 loss=0.857295  best=-inf wall=1.565h
  ep4 shard 287/688 loss=0.871594  best=-inf wall=1.568h
  ep4 shard 288/688 loss=0.855038  best=-inf wall=1.573h
  ep4 shard 289/688 loss=0.866076  best=-inf wall=1.578h
  ep4 shard 290/688 loss=0.85621  best=-inf wall=1.583h
  ep4 shard 291/688 loss=0.870296  best=-inf wall=1.588h
  ep4 shard 292/688 loss=0.848964  best=-inf wall=1.593h
  ep4 shard 293/688 loss=0.854245  best=-inf wall=1.598h
  ep4 shard 294/688 loss=0.833789  best=-inf wall=1.603h
  ep4 shard 295/688 loss=0.890009  best=-inf wall=1.609h
  ep4 shard 296/688 loss=0.856841  best=-inf wall=1.614h
  ep4 shard 297/688 loss=0.867868  best=-inf wall=1.617h
  ep4 shard 298/688 loss=0.854842  best=-inf wall=1.622h
  ep4 shard 299/688 loss=0.881065  best=-inf wall=1.627h
  ep4 shard 300/688 loss=0.856158  best=-inf wall=1.632h
  ep4 shard 301/688 loss=0.884305  best=-inf wall=1.635h
  ep4 shard 302/688 loss=0.874269  best=-inf wall=1.638h
  ep4 shard 303/688 loss=0.81852  best=-inf wall=1.643h
  ep4 shard 304/688 loss=0.781212  best=-inf wall=1.649h
  ep4 shard 305/688 loss=0.82957  best=-inf wall=1.654h
  ep4 shard 306/688 loss=0.875367  best=-inf wall=1.659h
  ep4 shard 307/688 loss=0.836743  best=-inf wall=1.664h
  ep4 shard 308/688 loss=0.836756  best=-inf wall=1.669h
  ep4 shard 309/688 loss=0.834881  best=-inf wall=1.675h
  ep4 shard 310/688 loss=0.839654  best=-inf wall=1.68h
  ep4 shard 311/688 loss=0.847517  best=-inf wall=1.685h
  ep4 shard 312/688 loss=0.832578  best=-inf wall=1.69h
  ep4 shard 313/688 loss=0.825689  best=-inf wall=1.695h
  ep4 shard 314/688 loss=0.816611  best=-inf wall=1.7h
  ep4 shard 315/688 loss=0.893663  best=-inf wall=1.706h
  ep4 shard 316/688 loss=0.867657  best=-inf wall=1.711h
  ep4 shard 317/688 loss=0.835101  best=-inf wall=1.716h
  ep4 shard 318/688 loss=0.832995  best=-inf wall=1.72h
  ep4 shard 319/688 loss=0.827203  best=-inf wall=1.726h
  ep4 shard 320/688 loss=0.846354  best=-inf wall=1.731h
  ep4 shard 321/688 loss=0.853127  best=-inf wall=1.733h
  ep4 shard 322/688 loss=0.880613  best=-inf wall=1.738h
  ep4 shard 323/688 loss=0.883915  best=-inf wall=1.743h
  ep4 shard 324/688 loss=0.856369  best=-inf wall=1.748h
  ep4 shard 325/688 loss=0.852852  best=-inf wall=1.751h
  ep4 shard 326/688 loss=0.880296  best=-inf wall=1.754h
  ep4 shard 327/688 loss=0.833273  best=-inf wall=1.759h
  ep4 shard 328/688 loss=0.85108  best=-inf wall=1.761h
  ep4 shard 329/688 loss=0.896978  best=-inf wall=1.766h
  ep4 shard 330/688 loss=0.831799  best=-inf wall=1.771h
  ep4 shard 331/688 loss=0.872685  best=-inf wall=1.776h
  ep4 shard 332/688 loss=0.852199  best=-inf wall=1.779h
  ep4 shard 333/688 loss=0.840461  best=-inf wall=1.784h
