[arch] mlp hidden [512, 512, 256, 256], 1.129M parameters
exp011 outcomes6 [cpu]: 48 shards x 12 epochs, lr=0.001 holdout_frac=0.0 split_seed=14
  ep4 shard 159/576 loss=0.869222  best=-inf wall=0.857h
  ep4 shard 160/576 loss=0.903221  best=-inf wall=0.863h
  ep4 shard 161/576 loss=0.869524  best=-inf wall=0.868h
  ep4 shard 162/576 loss=0.877428  best=-inf wall=0.873h
  ep4 shard 163/576 loss=0.819632  best=-inf wall=0.879h
  ep4 shard 164/576 loss=0.875428  best=-inf wall=0.884h
  ep4 shard 165/576 loss=0.830621  best=-inf wall=0.889h
  ep4 shard 166/576 loss=0.868654  best=-inf wall=0.894h
  ep4 shard 167/576 loss=0.84479  best=-inf wall=0.9h
  ep4 shard 168/576 loss=0.862309  best=-inf wall=0.904h
  ep4 shard 169/576 loss=0.852898  best=-inf wall=0.91h
  ep4 shard 170/576 loss=0.845097  best=-inf wall=0.915h
  ep4 shard 171/576 loss=0.852555  best=-inf wall=0.921h
  ep4 shard 172/576 loss=0.840545  best=-inf wall=0.926h
  ep4 shard 173/576 loss=0.859392  best=-inf wall=0.932h
  ep4 shard 174/576 loss=0.904985  best=-inf wall=0.937h
  ep4 shard 175/576 loss=0.839125  best=-inf wall=0.943h
  ep4 shard 176/576 loss=0.836159  best=-inf wall=0.948h
  ep4 shard 177/576 loss=0.85701  best=-inf wall=0.952h
  ep4 shard 178/576 loss=0.790059  best=-inf wall=0.957h
  ep4 shard 179/576 loss=0.8229  best=-inf wall=0.962h
  ep4 shard 180/576 loss=0.846367  best=-inf wall=0.968h
  ep4 shard 181/576 loss=0.852229  best=-inf wall=0.974h
  ep4 shard 182/576 loss=0.817209  best=-inf wall=0.979h
  ep4 shard 183/576 loss=0.866447  best=-inf wall=0.985h
  ep4 shard 184/576 loss=0.907204  best=-inf wall=0.99h
  ep4 shard 185/576 loss=0.845461  best=-inf wall=0.996h
  ep4 shard 186/576 loss=0.839315  best=-inf wall=1.001h
  ep4 shard 187/576 loss=0.840129  best=-inf wall=1.007h
  ep4 shard 188/576 loss=0.830011  best=-inf wall=1.011h
  ep4 shard 189/576 loss=0.871096  best=-inf wall=1.017h
  ep4 shard 190/576 loss=0.794415  best=-inf wall=1.022h
  ep4 shard 191/576 loss=0.880917  best=-inf wall=1.027h
  ep4 shard 192/576 loss=0.927645  best=-inf wall=1.031h
  saved epoch checkpoint -> experiments/exp028-mlp/mlp_512_512_256_256/checkpoints/ep4.pt
  ep5 shard 193/576 loss=0.860809  best=-inf wall=1.036h
  ep5 shard 194/576 loss=0.89277  best=-inf wall=1.041h
  ep5 shard 195/576 loss=0.839615  best=-inf wall=1.047h
  ep5 shard 196/576 loss=0.890477  best=-inf wall=1.051h
  ep5 shard 197/576 loss=0.818164  best=-inf wall=1.057h
  ep5 shard 198/576 loss=0.816314  best=-inf wall=1.062h
  ep5 shard 199/576 loss=0.842783  best=-inf wall=1.068h
  ep5 shard 200/576 loss=0.900665  best=-inf wall=1.073h
  ep5 shard 201/576 loss=0.850339  best=-inf wall=1.079h
  ep5 shard 202/576 loss=0.853611  best=-inf wall=1.084h
  ep5 shard 203/576 loss=0.837567  best=-inf wall=1.09h
  ep5 shard 204/576 loss=0.872358  best=-inf wall=1.095h
  ep5 shard 205/576 loss=0.831974  best=-inf wall=1.101h
  ep5 shard 206/576 loss=0.829271  best=-inf wall=1.106h
  ep5 shard 207/576 loss=0.815371  best=-inf wall=1.112h
  ep5 shard 208/576 loss=0.846221  best=-inf wall=1.117h
  ep5 shard 209/576 loss=0.838233  best=-inf wall=1.123h
  ep5 shard 210/576 loss=0.862681  best=-inf wall=1.127h
  ep5 shard 211/576 loss=0.861644  best=-inf wall=1.133h
  ep5 shard 212/576 loss=0.877723  best=-inf wall=1.138h
  ep5 shard 213/576 loss=0.815153  best=-inf wall=1.143h
  ep5 shard 214/576 loss=0.867087  best=-inf wall=1.147h
  ep5 shard 215/576 loss=0.77278  best=-inf wall=1.153h
  ep5 shard 216/576 loss=0.901509  best=-inf wall=1.158h
  ep5 shard 217/576 loss=0.793189  best=-inf wall=1.163h
  ep5 shard 218/576 loss=0.84036  best=-inf wall=1.167h
  ep5 shard 219/576 loss=0.858791  best=-inf wall=1.173h
  ep5 shard 220/576 loss=0.852023  best=-inf wall=1.177h
  ep5 shard 221/576 loss=0.831326  best=-inf wall=1.183h
  ep5 shard 222/576 loss=0.837008  best=-inf wall=1.188h
  ep5 shard 223/576 loss=0.88804  best=-inf wall=1.194h
  ep5 shard 224/576 loss=0.85328  best=-inf wall=1.198h
  ep5 shard 225/576 loss=0.832074  best=-inf wall=1.204h
  ep5 shard 226/576 loss=0.834473  best=-inf wall=1.209h
  ep5 shard 227/576 loss=0.857572  best=-inf wall=1.215h
  ep5 shard 228/576 loss=0.858818  best=-inf wall=1.22h
  ep5 shard 229/576 loss=0.862229  best=-inf wall=1.226h
  ep5 shard 230/576 loss=0.799856  best=-inf wall=1.231h
  ep5 shard 231/576 loss=0.872858  best=-inf wall=1.237h
  ep5 shard 232/576 loss=0.889239  best=-inf wall=1.242h
  ep5 shard 233/576 loss=0.865393  best=-inf wall=1.248h
  ep5 shard 234/576 loss=0.854131  best=-inf wall=1.254h
  ep5 shard 235/576 loss=0.846155  best=-inf wall=1.259h
  ep5 shard 236/576 loss=0.871317  best=-inf wall=1.264h
  ep5 shard 237/576 loss=0.917079  best=-inf wall=1.269h
  ep5 shard 238/576 loss=0.878708  best=-inf wall=1.274h
