[arch] mlp hidden [512, 512, 256, 256] in=201, 0.911M params (0.563M deployable)
exp011 scalar [cpu]: 86 shards x 20 epochs, lr=0.001 holdout_frac=0.0 split_seed=14
  ep3 shard 183/1720 loss=8.3e-05  best=-inf wall=0.823h
  ep3 shard 184/1720 loss=8.4e-05  best=-inf wall=0.828h
  ep3 shard 185/1720 loss=6.7e-05  best=-inf wall=0.833h
  ep3 shard 186/1720 loss=8.4e-05  best=-inf wall=0.838h
  ep3 shard 187/1720 loss=7e-05  best=-inf wall=0.843h
  ep3 shard 188/1720 loss=7e-05  best=-inf wall=0.846h
  ep3 shard 189/1720 loss=0.000104  best=-inf wall=0.847h
  ep3 shard 190/1720 loss=9e-05  best=-inf wall=0.852h
  ep3 shard 191/1720 loss=9e-05  best=-inf wall=0.855h
  ep3 shard 192/1720 loss=8.9e-05  best=-inf wall=0.86h
  ep3 shard 193/1720 loss=7.3e-05  best=-inf wall=0.865h
  ep3 shard 194/1720 loss=7.5e-05  best=-inf wall=0.868h
  ep3 shard 195/1720 loss=8.2e-05  best=-inf wall=0.873h
  ep3 shard 196/1720 loss=9.2e-05  best=-inf wall=0.878h
  ep3 shard 197/1720 loss=8.7e-05  best=-inf wall=0.882h
  ep3 shard 198/1720 loss=9.7e-05  best=-inf wall=0.886h
  ep3 shard 199/1720 loss=0.000112  best=-inf wall=0.891h
  ep3 shard 200/1720 loss=7.3e-05  best=-inf wall=0.896h
  ep3 shard 201/1720 loss=9.8e-05  best=-inf wall=0.9h
  ep3 shard 202/1720 loss=6.5e-05  best=-inf wall=0.905h
  ep3 shard 203/1720 loss=6.8e-05  best=-inf wall=0.909h
  ep3 shard 204/1720 loss=5.9e-05  best=-inf wall=0.914h
  ep3 shard 205/1720 loss=7.2e-05  best=-inf wall=0.919h
  ep3 shard 206/1720 loss=6.4e-05  best=-inf wall=0.924h
  ep3 shard 207/1720 loss=7.7e-05  best=-inf wall=0.929h
  ep3 shard 208/1720 loss=8.2e-05  best=-inf wall=0.934h
  ep3 shard 209/1720 loss=7.2e-05  best=-inf wall=0.939h
  ep3 shard 210/1720 loss=7.7e-05  best=-inf wall=0.944h
  ep3 shard 211/1720 loss=6e-05  best=-inf wall=0.949h
  ep3 shard 212/1720 loss=7.5e-05  best=-inf wall=0.954h
  ep3 shard 213/1720 loss=6.4e-05  best=-inf wall=0.959h
  ep3 shard 214/1720 loss=9.6e-05  best=-inf wall=0.964h
  ep3 shard 215/1720 loss=6.2e-05  best=-inf wall=0.969h
  ep3 shard 216/1720 loss=6.6e-05  best=-inf wall=0.972h
  ep3 shard 217/1720 loss=5.4e-05  best=-inf wall=0.977h
  ep3 shard 218/1720 loss=8.7e-05  best=-inf wall=0.982h
  ep3 shard 219/1720 loss=6.8e-05  best=-inf wall=0.987h
  ep3 shard 220/1720 loss=5.9e-05  best=-inf wall=0.992h
  ep3 shard 221/1720 loss=6.9e-05  best=-inf wall=0.996h
  ep3 shard 222/1720 loss=6.5e-05  best=-inf wall=0.999h
