[arch] mlp 1x256 hidden, 0.509M parameters
exp011 outcomes6 [cpu]: 48 shards x 12 epochs, lr=0.001 holdout_frac=0.0 split_seed=14
  saved epoch checkpoint -> experiments/exp028-mlp/mlp_h256_long/checkpoints/ep7.pt
  ep8 shard 337/576 loss=0.867215  best=-inf wall=0.89h
  ep8 shard 338/576 loss=0.80939  best=-inf wall=0.893h
  ep8 shard 339/576 loss=0.869514  best=-inf wall=0.896h
  ep8 shard 340/576 loss=0.86341  best=-inf wall=0.899h
  ep8 shard 341/576 loss=0.841055  best=-inf wall=0.902h
  ep8 shard 342/576 loss=0.879847  best=-inf wall=0.904h
  ep8 shard 343/576 loss=0.889952  best=-inf wall=0.906h
  ep8 shard 344/576 loss=0.884003  best=-inf wall=0.908h
  ep8 shard 345/576 loss=0.844276  best=-inf wall=0.911h
  ep8 shard 346/576 loss=0.855177  best=-inf wall=0.913h
  ep8 shard 347/576 loss=0.877418  best=-inf wall=0.916h
  ep8 shard 348/576 loss=0.850626  best=-inf wall=0.918h
  ep8 shard 349/576 loss=0.836304  best=-inf wall=0.921h
  ep8 shard 350/576 loss=0.850671  best=-inf wall=0.924h
  ep8 shard 351/576 loss=0.845907  best=-inf wall=0.927h
  ep8 shard 352/576 loss=0.842718  best=-inf wall=0.93h
  ep8 shard 353/576 loss=0.854658  best=-inf wall=0.931h
  ep8 shard 354/576 loss=0.83733  best=-inf wall=0.934h
  ep8 shard 355/576 loss=0.860016  best=-inf wall=0.937h
  ep8 shard 356/576 loss=0.843645  best=-inf wall=0.94h
  ep8 shard 357/576 loss=0.852362  best=-inf wall=0.943h
  ep8 shard 358/576 loss=0.90386  best=-inf wall=0.945h
  ep8 shard 359/576 loss=0.809003  best=-inf wall=0.948h
  ep8 shard 360/576 loss=0.870294  best=-inf wall=0.951h
  ep8 shard 361/576 loss=0.839521  best=-inf wall=0.953h
  ep8 shard 362/576 loss=0.884892  best=-inf wall=0.955h
  ep8 shard 363/576 loss=0.846327  best=-inf wall=0.958h
  ep8 shard 364/576 loss=0.895613  best=-inf wall=0.961h
  ep8 shard 365/576 loss=0.827257  best=-inf wall=0.964h
  ep8 shard 366/576 loss=0.818371  best=-inf wall=0.966h
  ep8 shard 367/576 loss=0.863723  best=-inf wall=0.967h
  ep8 shard 368/576 loss=0.841513  best=-inf wall=0.97h
  ep8 shard 369/576 loss=0.851968  best=-inf wall=0.973h
  ep8 shard 370/576 loss=0.849581  best=-inf wall=0.976h
  ep8 shard 371/576 loss=0.850514  best=-inf wall=0.979h
  ep8 shard 372/576 loss=0.868511  best=-inf wall=0.981h
  ep8 shard 373/576 loss=0.829823  best=-inf wall=0.984h
  ep8 shard 374/576 loss=0.794488  best=-inf wall=0.987h
  ep8 shard 375/576 loss=0.898885  best=-inf wall=0.989h
  ep8 shard 376/576 loss=0.870512  best=-inf wall=0.991h
  ep8 shard 377/576 loss=0.880469  best=-inf wall=0.993h
  ep8 shard 378/576 loss=0.843657  best=-inf wall=0.996h
  ep8 shard 379/576 loss=0.852329  best=-inf wall=0.999h
  ep8 shard 380/576 loss=0.859868  best=-inf wall=1.002h
  ep8 shard 381/576 loss=0.870474  best=-inf wall=1.004h
  ep8 shard 382/576 loss=0.871816  best=-inf wall=1.007h
  ep8 shard 383/576 loss=0.860922  best=-inf wall=1.009h
  ep8 shard 384/576 loss=0.838593  best=-inf wall=1.012h
  saved epoch checkpoint -> experiments/exp028-mlp/mlp_h256_long/checkpoints/ep8.pt
  ep9 shard 385/576 loss=0.810587  best=-inf wall=1.015h
  ep9 shard 386/576 loss=0.888202  best=-inf wall=1.018h
  ep9 shard 387/576 loss=0.832742  best=-inf wall=1.021h
  ep9 shard 388/576 loss=0.860206  best=-inf wall=1.023h
  ep9 shard 389/576 loss=0.845022  best=-inf wall=1.026h
  ep9 shard 390/576 loss=0.838383  best=-inf wall=1.029h
  ep9 shard 391/576 loss=0.853006  best=-inf wall=1.032h
  ep9 shard 392/576 loss=0.878207  best=-inf wall=1.034h
  ep9 shard 393/576 loss=0.848599  best=-inf wall=1.037h
  ep9 shard 394/576 loss=0.91745  best=-inf wall=1.039h
  ep9 shard 395/576 loss=0.884585  best=-inf wall=1.041h
  ep9 shard 396/576 loss=0.808407  best=-inf wall=1.044h
  ep9 shard 397/576 loss=0.87113  best=-inf wall=1.046h
  ep9 shard 398/576 loss=0.832784  best=-inf wall=1.049h
  ep9 shard 399/576 loss=0.857233  best=-inf wall=1.052h
  ep9 shard 400/576 loss=0.834611  best=-inf wall=1.055h
  ep9 shard 401/576 loss=0.852059  best=-inf wall=1.057h
  ep9 shard 402/576 loss=0.832705  best=-inf wall=1.059h
  ep9 shard 403/576 loss=0.871686  best=-inf wall=1.061h
