[arch] mlp hidden [512, 512, 256, 256] in=201, 0.911M params (0.563M deployable)
exp011 scalar [cpu]: 86 shards x 100 epochs, lr=0.001 holdout_frac=0.0 split_seed=14
[resume] experiments/exp029-longrun/combined100/checkpoints/latest.pt absent — starting fresh
  ep3 shard 182/8600 loss=7.8e-05  best=-inf wall=0.885h
  ep3 shard 183/8600 loss=8.3e-05  best=-inf wall=0.89h
  ep3 shard 184/8600 loss=0.000103  best=-inf wall=0.895h
  ep3 shard 185/8600 loss=6.2e-05  best=-inf wall=0.901h
  ep3 shard 186/8600 loss=6.4e-05  best=-inf wall=0.906h
  ep3 shard 187/8600 loss=8.2e-05  best=-inf wall=0.911h
  ep3 shard 188/8600 loss=7.1e-05  best=-inf wall=0.914h
  ep3 shard 189/8600 loss=0.000127  best=-inf wall=0.916h
  ep3 shard 190/8600 loss=7.9e-05  best=-inf wall=0.921h
  ep3 shard 191/8600 loss=8.9e-05  best=-inf wall=0.924h
  ep3 shard 192/8600 loss=6.9e-05  best=-inf wall=0.93h
  ep3 shard 193/8600 loss=8.1e-05  best=-inf wall=0.935h
  ep3 shard 194/8600 loss=7.3e-05  best=-inf wall=0.938h
  ep3 shard 195/8600 loss=6.7e-05  best=-inf wall=0.943h
  ep3 shard 196/8600 loss=6.4e-05  best=-inf wall=0.948h
  ep3 shard 197/8600 loss=6.3e-05  best=-inf wall=0.953h
  ep3 shard 198/8600 loss=6.2e-05  best=-inf wall=0.958h
  ep3 shard 199/8600 loss=6.9e-05  best=-inf wall=0.963h
  ep3 shard 200/8600 loss=9.8e-05  best=-inf wall=0.969h
  ep3 shard 201/8600 loss=8.9e-05  best=-inf wall=0.974h
  ep3 shard 202/8600 loss=8.7e-05  best=-inf wall=0.979h
  ep3 shard 203/8600 loss=7.8e-05  best=-inf wall=0.984h
  ep3 shard 204/8600 loss=7e-05  best=-inf wall=0.989h
  ep3 shard 205/8600 loss=9.6e-05  best=-inf wall=0.995h
  ep3 shard 206/8600 loss=7.6e-05  best=-inf wall=1.0h
  ep3 shard 207/8600 loss=7.7e-05  best=-inf wall=1.005h
  ep3 shard 208/8600 loss=6.9e-05  best=-inf wall=1.01h
  ep3 shard 209/8600 loss=6.7e-05  best=-inf wall=1.016h
  ep3 shard 210/8600 loss=6.3e-05  best=-inf wall=1.021h
  ep3 shard 211/8600 loss=9.1e-05  best=-inf wall=1.026h
  ep3 shard 212/8600 loss=6.5e-05  best=-inf wall=1.031h
  ep3 shard 213/8600 loss=8.7e-05  best=-inf wall=1.037h
  ep3 shard 214/8600 loss=6.5e-05  best=-inf wall=1.042h
  ep3 shard 215/8600 loss=5.7e-05  best=-inf wall=1.047h
  ep3 shard 216/8600 loss=0.000113  best=-inf wall=1.05h
  ep3 shard 217/8600 loss=5.9e-05  best=-inf wall=1.055h
  ep3 shard 218/8600 loss=9.4e-05  best=-inf wall=1.061h
  ep3 shard 219/8600 loss=9.8e-05  best=-inf wall=1.066h
  ep3 shard 220/8600 loss=5.3e-05  best=-inf wall=1.071h
  ep3 shard 221/8600 loss=6.7e-05  best=-inf wall=1.076h
  ep3 shard 222/8600 loss=5.8e-05  best=-inf wall=1.079h
  ep3 shard 223/8600 loss=5.7e-05  best=-inf wall=1.084h
  ep3 shard 224/8600 loss=5.5e-05  best=-inf wall=1.089h
  ep3 shard 225/8600 loss=6.4e-05  best=-inf wall=1.094h
  ep3 shard 226/8600 loss=9.1e-05  best=-inf wall=1.1h
  ep3 shard 227/8600 loss=5.6e-05  best=-inf wall=1.103h
  ep3 shard 228/8600 loss=7.4e-05  best=-inf wall=1.108h
  ep3 shard 229/8600 loss=6.6e-05  best=-inf wall=1.111h
  ep3 shard 230/8600 loss=5.2e-05  best=-inf wall=1.116h
  ep3 shard 231/8600 loss=5.6e-05  best=-inf wall=1.121h
  ep3 shard 232/8600 loss=6.2e-05  best=-inf wall=1.126h
  ep3 shard 233/8600 loss=6.9e-05  best=-inf wall=1.131h
  ep3 shard 234/8600 loss=8e-05  best=-inf wall=1.137h
  ep3 shard 235/8600 loss=9.7e-05  best=-inf wall=1.142h
  ep3 shard 236/8600 loss=6.8e-05  best=-inf wall=1.147h
  ep3 shard 237/8600 loss=4.8e-05  best=-inf wall=1.152h
  ep3 shard 238/8600 loss=8.2e-05  best=-inf wall=1.157h
  ep3 shard 239/8600 loss=6.7e-05  best=-inf wall=1.163h
  ep3 shard 240/8600 loss=6.7e-05  best=-inf wall=1.168h
  ep3 shard 241/8600 loss=9.6e-05  best=-inf wall=1.173h
  ep3 shard 242/8600 loss=6.5e-05  best=-inf wall=1.178h
  ep3 shard 243/8600 loss=8.4e-05  best=-inf wall=1.18h
  ep3 shard 244/8600 loss=6e-05  best=-inf wall=1.185h
  ep3 shard 245/8600 loss=6.4e-05  best=-inf wall=1.19h
  ep3 shard 246/8600 loss=7.8e-05  best=-inf wall=1.196h
  ep3 shard 247/8600 loss=8.1e-05  best=-inf wall=1.201h
  ep3 shard 248/8600 loss=6.6e-05  best=-inf wall=1.207h
  ep3 shard 249/8600 loss=6e-05  best=-inf wall=1.212h
  ep3 shard 250/8600 loss=4.9e-05  best=-inf wall=1.217h
  ep3 shard 251/8600 loss=5.3e-05  best=-inf wall=1.223h
  ep3 shard 252/8600 loss=6e-05  best=-inf wall=1.228h
  ep3 shard 253/8600 loss=7.6e-05  best=-inf wall=1.233h
  ep3 shard 254/8600 loss=8.7e-05  best=-inf wall=1.237h
  ep3 shard 255/8600 loss=5.5e-05  best=-inf wall=1.24h
  ep3 shard 256/8600 loss=6.8e-05  best=-inf wall=1.245h
  ep3 shard 257/8600 loss=7.3e-05  best=-inf wall=1.251h
  ep3 shard 258/8600 loss=7.7e-05  best=-inf wall=1.254h
  saved epoch checkpoint -> experiments/exp029-longrun/combined100/checkpoints/ep3.pt
  ep4 shard 259/8600 loss=6.8e-05  best=-inf wall=1.258h
  ep4 shard 260/8600 loss=7.7e-05  best=-inf wall=1.263h
  ep4 shard 261/8600 loss=5.2e-05  best=-inf wall=1.268h
  ep4 shard 262/8600 loss=9.1e-05  best=-inf wall=1.274h
  ep4 shard 263/8600 loss=7.5e-05  best=-inf wall=1.276h
  ep4 shard 264/8600 loss=6.2e-05  best=-inf wall=1.281h
  ep4 shard 265/8600 loss=5.4e-05  best=-inf wall=1.283h
  ep4 shard 266/8600 loss=5.7e-05  best=-inf wall=1.288h
  ep4 shard 267/8600 loss=7.6e-05  best=-inf wall=1.293h
  ep4 shard 268/8600 loss=5.4e-05  best=-inf wall=1.296h
  ep4 shard 269/8600 loss=8.1e-05  best=-inf wall=1.301h
  ep4 shard 270/8600 loss=6e-05  best=-inf wall=1.307h
  ep4 shard 271/8600 loss=5e-05  best=-inf wall=1.312h
  ep4 shard 272/8600 loss=3.9e-05  best=-inf wall=1.317h
  ep4 shard 273/8600 loss=7.8e-05  best=-inf wall=1.323h
  ep4 shard 274/8600 loss=6.3e-05  best=-inf wall=1.328h
  ep4 shard 275/8600 loss=6.6e-05  best=-inf wall=1.333h
  ep4 shard 276/8600 loss=5.9e-05  best=-inf wall=1.338h
  ep4 shard 277/8600 loss=7e-05  best=-inf wall=1.343h
  ep4 shard 278/8600 loss=6.6e-05  best=-inf wall=1.348h
  ep4 shard 279/8600 loss=8.6e-05  best=-inf wall=1.354h
  ep4 shard 280/8600 loss=7.9e-05  best=-inf wall=1.359h
  ep4 shard 281/8600 loss=6.3e-05  best=-inf wall=1.364h
  ep4 shard 282/8600 loss=5.5e-05  best=-inf wall=1.37h
  ep4 shard 283/8600 loss=7.4e-05  best=-inf wall=1.375h
  ep4 shard 284/8600 loss=7.2e-05  best=-inf wall=1.38h
  ep4 shard 285/8600 loss=5.9e-05  best=-inf wall=1.385h
  ep4 shard 286/8600 loss=9.4e-05  best=-inf wall=1.39h
  ep4 shard 287/8600 loss=6.3e-05  best=-inf wall=1.393h
  ep4 shard 288/8600 loss=6.4e-05  best=-inf wall=1.398h
  ep4 shard 289/8600 loss=7e-05  best=-inf wall=1.403h
  ep4 shard 290/8600 loss=6.8e-05  best=-inf wall=1.408h
  ep4 shard 291/8600 loss=8.9e-05  best=-inf wall=1.414h
  ep4 shard 292/8600 loss=7.2e-05  best=-inf wall=1.419h
  ep4 shard 293/8600 loss=7.9e-05  best=-inf wall=1.424h
  ep4 shard 294/8600 loss=6.3e-05  best=-inf wall=1.429h
  ep4 shard 295/8600 loss=6.9e-05  best=-inf wall=1.435h
  ep4 shard 296/8600 loss=6.6e-05  best=-inf wall=1.44h
  ep4 shard 297/8600 loss=6.4e-05  best=-inf wall=1.443h
  ep4 shard 298/8600 loss=5.6e-05  best=-inf wall=1.448h
  ep4 shard 299/8600 loss=5.7e-05  best=-inf wall=1.454h
  ep4 shard 300/8600 loss=5e-05  best=-inf wall=1.459h
  ep4 shard 301/8600 loss=4.8e-05  best=-inf wall=1.462h
  ep4 shard 302/8600 loss=6.3e-05  best=-inf wall=1.465h
  ep4 shard 303/8600 loss=6e-05  best=-inf wall=1.47h
  ep4 shard 304/8600 loss=5.5e-05  best=-inf wall=1.475h
  ep4 shard 305/8600 loss=6.4e-05  best=-inf wall=1.482h
  ep4 shard 306/8600 loss=6.6e-05  best=-inf wall=1.487h
  ep4 shard 307/8600 loss=6.3e-05  best=-inf wall=1.492h
  ep4 shard 308/8600 loss=6.7e-05  best=-inf wall=1.498h
  ep4 shard 309/8600 loss=5.8e-05  best=-inf wall=1.502h
  ep4 shard 310/8600 loss=4.8e-05  best=-inf wall=1.507h
  ep4 shard 311/8600 loss=9.9e-05  best=-inf wall=1.513h
  ep4 shard 312/8600 loss=5.1e-05  best=-inf wall=1.518h
  ep4 shard 313/8600 loss=7.8e-05  best=-inf wall=1.523h
  ep4 shard 314/8600 loss=8.1e-05  best=-inf wall=1.528h
  ep4 shard 315/8600 loss=5.9e-05  best=-inf wall=1.533h
